FieldPath,Type,AllowedValues,Unit,Min,Max,Required,Notes
account_locale_consent,object,,,,,no,
account_locale_consent.user_id,string,,,,,no,format: uuid
account_locale_consent.primary_language,string,,,,,no,
account_locale_consent.secondary_languages,array,,,,,no,
account_locale_consent.units,string,metric|imperial,,,,no,
account_locale_consent.timezone,string,,,,,no,
account_locale_consent.accessibility_needs,array,,,,,no,
account_locale_consent.consents,object,,,,,no,
account_locale_consent.consents.marketing_emails,boolean,,,,,no,
account_locale_consent.consents.data_processing,boolean,,,,,no,
account_locale_consent.consents.device_data_sharing,boolean,,,,,no,
account_locale_consent.consents.clinical_use_participation,boolean,,,,,no,
account_locale_consent.notifications,object,,,,,no,
account_locale_consent.notifications.channels,array,,,,,no,
account_locale_consent.notifications.frequency,string,realtime|daily|weekly,,,,no,
demographics_anthropometrics,object,,,,,no,
demographics_anthropometrics.birth_date,string,,,,,no,format: date
demographics_anthropometrics.sex_at_birth,string,female|male|intersex|prefer_not_to_say,,,,no,
demographics_anthropometrics.gender_identity,string,,,,,no,
demographics_anthropometrics.height,number,,,30,300,no,
demographics_anthropometrics.weight,number,,,3,500,no,
demographics_anthropometrics.body_fat_pct,number,,,1,75,no,
demographics_anthropometrics.waist_circumference,number,,,10,300,no,
demographics_anthropometrics.hip_circumference,number,,,10,300,no,
demographics_anthropometrics.life_stage,string,infant|toddler|child|adolescent|adult|older_adult,,,,no,
demographics_anthropometrics.pregnancy_status,string,not_pregnant|pregnant|postpartum,,,,no,
demographics_anthropometrics.pregnancy_trimester,string,1|2|3,,,,no,
demographics_anthropometrics.lactation_status,boolean,,,,,no,
clinical_conditions,object,,,,,no,
clinical_conditions.metabolic,array,,,,,no,
clinical_conditions.cardiovascular,array,,,,,no,
clinical_conditions.renal,array,,,,,no,
clinical_conditions.gastrointestinal,array,,,,,no,
clinical_conditions.hepatic,array,,,,,no,
clinical_conditions.respiratory,array,,,,,no,
clinical_conditions.endocrine,array,,,,,no,
clinical_conditions.neurologic,array,,,,,no,
clinical_conditions.allergy_immunology,array,,,,,no,
clinical_conditions.oncology,array,,,,,no,
clinical_conditions.bone_joint,array,,,,,no,
clinical_conditions.eating_disorders_active,array,,,,,no,
clinical_conditions.pregnancy_risk_flags,array,,,,,no,
medications,object,,,,,no,
medications.anticoagulants,array,,,,,no,
medications.antiplatelets,array,,,,,no,
medications.statins,array,,,,,no,
medications.antihypertensives,array,,,,,no,
medications.antidiabetics,array,,,,,no,
medications.thyroid_meds,array,,,,,no,
medications.anticonvulsants,array,,,,,no,
medications.mao_inhibitors,array,,,,,no,
medications.corticosteroids_systemic,array,,,,,no,
medications.immunosuppressants,array,,,,,no,
medications.other_caution,array,,,,,no,
medications.otc_supplements,array,,,,,no,
allergens_intolerances,object,,,,,no,
allergens_intolerances.major_allergens,array,,,,,no,
allergens_intolerances.other_allergens,array,,,,,no,
allergens_intolerances.intolerances,array,,,,,no,
dietary_patterns,object,,,,,no,
dietary_patterns.general,string,omnivore|flexitarian|vegetarian_lacto_ovo|vegetarian_lacto|vegetarian_ovo|pescatarian|vegan,,,,no,
dietary_patterns.medical_restricted,array,,,,,no,
dietary_patterns.religious_cultural,array,,,,,no,
dietary_patterns.metabolic_goal,string,none|ketogenic|low_carb|low_fat|mediterranean,,,,no,
dietary_patterns.metabolic_targets,object,,,,,no,
